"","SERIALNO","AGEP","COW","JWRIP","JWTR","HINCP","atransit","bus","SC","subway","rail","bike","home"
"1",18,36,1,0,2,15000,1,1,0,0,0,0,0
"2",116,35,2,0,2,143000,1,1,0,0,0,0,0
"3",116,38,1,0,2,143000,1,1,0,0,0,0,0
"4",116,31,1,0,11,143000,1,0,0,0,0,0,1
"5",139,52,3,0,2,8000,1,1,0,0,0,0,0
"6",500,44,1,0,5,80000,1,0,0,0,1,0,0
"7",596,62,1,1,1,548000,0,0,0,0,0,0,0
"8",596,23,1,1,1,548000,0,0,0,0,0,0,0
"9",619,63,7,1,1,53000,0,0,0,0,0,0,0
"10",774,51,1,1,1,40000,0,0,0,0,0,0,0
"13",795,47,1,1,1,200100,0,0,0,0,0,0,0
"14",827,56,2,1,1,46200,0,0,0,0,0,0,0
"15",973,35,2,1,1,70180,0,0,0,0,0,0,0
"16",1015,49,1,1,1,147000,0,0,0,0,0,0,0
"17",1015,52,1,1,1,147000,0,0,0,0,0,0,0
"18",1021,54,1,0,4,107000,1,0,0,1,0,0,0
"19",1083,50,1,1,1,463600,0,0,0,0,0,0,0
"22",1147,36,6,1,1,70000,0,0,0,0,0,0,0
"23",1147,33,1,1,1,70000,0,0,0,0,0,0,0
"24",1210,39,1,0,11,164000,1,0,0,0,0,0,1
"27",1238,34,1,1,1,145000,0,0,0,0,0,0,0
"31",1420,62,6,0,11,22500,1,0,0,0,0,0,1
"32",1420,39,1,0,11,22500,1,0,0,0,0,0,1
"33",1487,57,1,0,11,53700,1,0,0,0,0,0,1
"34",1487,61,1,0,11,53700,1,0,0,0,0,0,1
"35",1528,55,6,1,1,41100,0,0,0,0,0,0,0
"36",1528,60,6,1,1,41100,0,0,0,0,0,0,0
"38",1672,25,4,1,1,67000,0,0,0,0,0,0,0
"39",1672,26,1,0,9,67000,1,0,0,0,0,1,0
"40",1750,39,1,0,11,50001,1,0,0,0,0,0,1
"41",1750,39,6,1,1,50001,0,0,0,0,0,0,0
"43",1925,45,1,1,1,78900,0,0,0,0,0,0,0
"44",1930,47,1,1,1,43000,0,0,0,0,0,0,0
"45",1930,43,1,1,1,43000,0,0,0,0,0,0,0
"46",1930,24,1,1,1,43000,0,0,0,0,0,0,0
"47",1971,54,1,1,1,200040,0,0,0,0,0,0,0
"51",2364,45,1,1,1,535000,0,0,0,0,0,0,0
"52",2373,53,5,0,9,135200,1,0,0,0,0,1,0
"53",2436,41,1,1,1,55000,0,0,0,0,0,0,0
"54",2473,43,6,1,1,369000,0,0,0,0,0,0,0
"55",2499,25,4,0,11,104800,1,0,0,0,0,0,1
"56",2499,49,1,0,5,104800,1,0,0,0,1,0,0
"57",2499,25,1,0,5,104800,1,0,0,0,1,0,0
"58",2499,31,1,1,1,104800,0,0,0,0,0,0,0
"60",2571,44,1,1,1,123000,0,0,0,0,0,0,0
"61",2646,55,6,1,1,130000,0,0,0,0,0,0,0
"62",2646,46,6,1,1,130000,0,0,0,0,0,0,0
"63",2667,45,6,1,1,65000,0,0,0,0,0,0,0
"64",2667,35,1,1,1,65000,0,0,0,0,0,0,0
"66",2891,45,1,1,1,86180,0,0,0,0,0,0,0
"67",2929,48,1,1,1,150000,0,0,0,0,0,0,0
"69",3047,56,1,1,1,75000,0,0,0,0,0,0,0
"70",3115,35,1,1,1,305000,0,0,0,0,0,0,0
"71",3115,35,1,1,1,305000,0,0,0,0,0,0,0
"72",3145,36,5,1,1,235000,0,0,0,0,0,0,0
"73",3145,40,3,0,4,235000,1,0,0,1,0,0,0
